ClassN1,ID,TextoTratado,CreateTime,TotalTimeTracked,dominant_topic,top_words
ERP,18165,criacao usuario sap atribuido seguem acesso sap portal sap docusign recebera criar senha docusign codigo novolarautorizacao concedida,10/07/2025 11:34:29,540,5,"carrega, sinaliza, possuia, inclui, executou"
Infrastructure,18164,leiano editou arquivo diretamente outlook salvou arquivo encontrado espaco disco pasta download ocupando disco aconselhado limpar necessario mover restante onedrive,10/07/2025 11:34:18,3480,2,"plano, agrupamento, tamanho, preco, moinho"
Infrastructure,18163,liberar pacote office computador administracao obra flow pacote office utiliza usuario notebook,10/07/2025 11:33:21,4740,0,"first, seven, not, three, public"
Infrastructure,18162,nfse ingram micro nfse nota fiscal,10/07/2025 11:24:46,780,1,"tolerancia, montagem, administracao, unidade, pasta"
ERP,18161,ajustar parcela orcamento,10/07/2025 11:13:13,900,3,"instalar, liberar, transferir, recuperar, portar"
ERP,18160,corrigir replicar coligadas tributos periodo apuracao tributo irrfpj inserido,10/07/2025 10:43:20,660,3,"instalar, liberar, transferir, recuperar, portar"
Infrastructure,18159,instalacao configuracao mremoteng configuracao teste software mremoteng fluig parar,10/07/2025 10:35:46,720,8,"xml, sql, mysql, pdf, txt"
ERP,18158,usuario senha funcionando acessar base antiga fazenda acessar urgencia conferir lancamentos,10/07/2025 10:33:00,420,1,"tolerancia, montagem, administracao, unidade, pasta"
ERP,18156,print lancando,10/07/2025 10:11:14,720,0,"first, seven, not, three, public"
Infrastructure,18155,outlook desktop funcionando acessar,10/07/2025 09:43:24,540,8,"xml, sql, mysql, pdf, txt"
ERP,18154,acessar senha colocando acesso usei logar,10/07/2025 08:37:47,240,5,"carrega, sinaliza, possuia, inclui, executou"
ERP,18153,desligamento bloqueio acessos corretora campos cpf novolar acesso xrm bloqueado,09/07/2025 18:59:51,120,6,"ajustado, usado, explicado, solicitada, admitida"
ERP,18152,acesso xrm bloqueado desligamento bloqueio acessos corretor bastos cpf novolar,09/07/2025 18:58:43,240,2,"plano, agrupamento, tamanho, preco, moinho"
Infrastructure,18151,aumento espaco file server,09/07/2025 17:16:27,1320,0,"first, seven, not, three, public"
ERP,18150,criar acesso totvs espelhado acesso aprovacao atestados,09/07/2025 16:37:13,1140,1,"tolerancia, montagem, administracao, unidade, pasta"
ERP,18148,reuniao git,09/07/2025 16:11:52,1440,1,"tolerancia, montagem, administracao, unidade, pasta"
Infrastructure,18147,visita conecta presente realizar solicitacao instalacao fibra optica orientada informou irao contratacao aproveitamos visita apresentar mostrar ambiente,09/07/2025 16:01:11,4800,3,"instalar, liberar, transferir, recuperar, portar"
ERP,18146,reuniao repositorio github,09/07/2025 15:48:02,1080,1,"tolerancia, montagem, administracao, unidade, pasta"
BI,18145,reuniao repositorio github,09/07/2025 15:27:11,1080,1,"tolerancia, montagem, administracao, unidade, pasta"
Infrastructure,18144,checklist preenchido casa iniciara semana,09/07/2025 15:17:12,4680,6,"ajustado, usado, explicado, solicitada, admitida"
Infrastructure,18141,criacao procedimento configuracao gerenciador hyper testado criado configuracao gerenciador hyper criado procedimento configurar,09/07/2025 14:23:21,9180,6,"ajustado, usado, explicado, solicitada, admitida"
Infrastructure,18140,configuracao rdp demorou usuario possuia permissao acesso trabalho remota,09/07/2025 13:48:15,3060,5,"carrega, sinaliza, possuia, inclui, executou"
Infrastructure,18138,transferencia horas clockify acompanhamento formatacao notebook,09/07/2025 11:58:00,4020,1,"tolerancia, montagem, administracao, unidade, pasta"
Infrastructure,18137,transferencia horas clockify criacao vlan telefonia,09/07/2025 11:50:02,1800,1,"tolerancia, montagem, administracao, unidade, pasta"
ERP,18136,portal aparece folha pagamento fevereiro,09/07/2025 11:45:43,540,2,"plano, agrupamento, tamanho, preco, moinho"
Infrastructure,18135,transferencia horas clockify engenharia acompanhamento formatacao notebook,09/07/2025 11:45:40,4080,1,"tolerancia, montagem, administracao, unidade, pasta"
Infrastructure,18134,transferencia horas clockify verificacao backup veeam servicos parados,09/07/2025 11:38:38,4860,4,"modelos, produtos, itens, fornecedores, cadastros"
Infrastructure,18133,cadastrar viana compras compras,09/07/2025 11:27:40,300,7,"entregas, telas, ferias, pastas, obras"
ERP,18132,reuniao layout vale transporte,09/07/2025 11:25:32,3600,2,"plano, agrupamento, tamanho, preco, moinho"
Infrastructure,18130,transferencia horas clockify chamada teams,09/07/2025 11:18:06,27120,0,"first, seven, not, three, public"
Infrastructure,18129,placa rede notebook trabalho atualizacao parou funcionar,09/07/2025 11:16:35,4920,1,"tolerancia, montagem, administracao, unidade, pasta"
Infrastructure,18128,reuniao reuniao apontamento horas,09/07/2025 11:11:38,6000,1,"tolerancia, montagem, administracao, unidade, pasta"
Infrastructure,18127,instalar acesso conectividade social,09/07/2025 11:10:48,1560,3,"instalar, liberar, transferir, recuperar, portar"
